,precision,recall,f1-score,support
apple_pie,0.666131621187801,0.5533333333333333,0.604515659140568,750.0
baby_back_ribs,0.8601973684210527,0.6973333333333334,0.7702503681885124,750.0
baklava,0.9238095238095239,0.6466666666666666,0.7607843137254902,750.0
beef_carpaccio,0.5911949685534591,0.8773333333333333,0.706387546967257,750.0
beef_tartare,0.6065747613997879,0.7626666666666667,0.6757235676314235,750.0
beet_salad,0.6895640686922061,0.696,0.6927670869276709,750.0
beignets,0.7371303395399781,0.8973333333333333,0.8093806374022849,750.0
bibimbap,0.901749663526245,0.8933333333333333,0.8975217682518419,750.0
bread_pudding,0.3617021276595745,0.8613333333333333,0.5094637223974764,750.0
breakfast_burrito,0.6331096196868009,0.7546666666666667,0.6885644768856447,750.0
bruschetta,0.8548672566371681,0.644,0.7346007604562739,750.0
caesar_salad,0.9512195121951219,0.572,0.7144046627810157,750.0
cannoli,0.968,0.6453333333333333,0.7744,750.0
caprese_salad,0.8177966101694916,0.772,0.794238683127572,750.0
carrot_cake,0.7438551099611902,0.7666666666666667,0.7550886408404465,750.0
ceviche,0.7018544935805991,0.656,0.6781529979324604,750.0
cheesecake,0.7530186608122942,0.9146666666666666,0.8260084286574352,750.0
cheese_plate,0.7164948453608248,0.556,0.6261261261261261,750.0
chicken_curry,0.816793893129771,0.7133333333333334,0.7615658362989323,750.0
chicken_quesadilla,0.6,0.868,0.7095367847411443,750.0
chicken_wings,0.7733333333333333,0.928,0.8436363636363636,750.0
chocolate_cake,0.6525323910482921,0.7386666666666667,0.6929330831769855,750.0
chocolate_mousse,0.5468208092485549,0.6306666666666667,0.5857585139318886,750.0
churros,0.8853868194842407,0.824,0.8535911602209943,750.0
clam_chowder,0.7006507592190889,0.8613333333333333,0.7727272727272727,750.0
club_sandwich,0.8270967741935484,0.8546666666666667,0.840655737704918,750.0
crab_cakes,0.5537488708220416,0.8173333333333334,0.6602046311254712,750.0
creme_brulee,0.7456846950517837,0.864,0.8004941321803581,750.0
croque_madame,0.6677181913774973,0.8466666666666667,0.7466196355085245,750.0
cup_cakes,0.8114285714285714,0.7573333333333333,0.7834482758620689,750.0
deviled_eggs,0.9233038348082596,0.8346666666666667,0.876750700280112,750.0
donuts,0.9304029304029304,0.6773333333333333,0.7839506172839507,750.0
dumplings,0.7266591676040495,0.8613333333333333,0.7882855399633922,750.0
edamame,0.9709762532981531,0.9813333333333333,0.9761273209549072,750.0
eggs_benedict,0.7346491228070176,0.8933333333333333,0.8062575210589651,750.0
escargots,0.8294209702660407,0.7066666666666667,0.7631389488840893,750.0
falafel,0.9092827004219409,0.5746666666666667,0.704248366013072,750.0
filet_mignon,0.4222539229671897,0.7893333333333333,0.550185873605948,750.0
fish_and_chips,0.816747572815534,0.8973333333333333,0.855146124523507,750.0
foie_gras,0.2775229357798165,0.8066666666666666,0.4129692832764505,750.0
french_fries,0.7103301384451545,0.8893333333333333,0.7898164594434577,750.0
french_onion_soup,0.6211312700106724,0.776,0.6899822169531713,750.0
french_toast,0.6524590163934426,0.796,0.7171171171171171,750.0
fried_calamari,0.7333333333333333,0.8213333333333334,0.7748427672955975,750.0
fried_rice,0.8142664872139973,0.8066666666666666,0.8104487608841259,750.0
frozen_yogurt,0.7941520467836257,0.9053333333333333,0.8461059190031153,750.0
garlic_bread,0.9396984924623115,0.49866666666666665,0.6515679442508711,750.0
gnocchi,0.775047258979206,0.5466666666666666,0.6411258795934323,750.0
greek_salad,0.6718106995884774,0.8706666666666667,0.7584204413472707,750.0
grilled_cheese_sandwich,0.8126064735945485,0.636,0.7135377711293942,750.0
grilled_salmon,0.7296969696969697,0.8026666666666666,0.7644444444444444,750.0
guacamole,0.9819494584837545,0.7253333333333334,0.8343558282208589,750.0
gyoza,0.8734439834024896,0.5613333333333334,0.6834415584415585,750.0
hamburger,0.9567567567567568,0.472,0.6321428571428571,750.0
hot_and_sour_soup,0.5299539170506913,0.92,0.672514619883041,750.0
hot_dog,0.9003067484662577,0.7826666666666666,0.8373751783166904,750.0
huevos_rancheros,0.653288740245262,0.7813333333333333,0.7115968427443836,750.0
hummus,0.9175050301810865,0.608,0.7313552526062551,750.0
ice_cream,0.7996715927750411,0.6493333333333333,0.7167034584253127,750.0
lasagna,0.9157509157509157,0.3333333333333333,0.48875855327468226,750.0
lobster_bisque,0.6839779005524862,0.8253333333333334,0.7480362537764352,750.0
lobster_roll_sandwich,0.6951710261569416,0.9213333333333333,0.7924311926605505,750.0
macaroni_and_cheese,0.7849315068493151,0.764,0.7743243243243245,750.0
macarons,0.9757489300998573,0.912,0.9427980702963473,750.0
miso_soup,0.694078947368421,0.844,0.7617328519855594,750.0
mussels,0.9258760107816711,0.916,0.9209115281501341,750.0
nachos,0.8539823008849557,0.772,0.8109243697478993,750.0
omelette,0.8066115702479338,0.6506666666666666,0.7202952029520294,750.0
onion_rings,0.8508522727272727,0.7986666666666666,0.8239339752407152,750.0
oysters,0.9541160593792173,0.9426666666666667,0.9483568075117371,750.0
pad_thai,0.6777251184834123,0.9533333333333334,0.7922437673130195,750.0
paella,0.8970588235294118,0.8133333333333334,0.8531468531468531,750.0
pancakes,0.9074675324675324,0.7453333333333333,0.8184480234260615,750.0
panna_cotta,0.5620111731843576,0.6706666666666666,0.611550151975684,750.0
peking_duck,0.7529550827423168,0.8493333333333334,0.7982456140350878,750.0
pho,0.952755905511811,0.6453333333333333,0.7694753577106518,750.0
pizza,0.8908355795148248,0.8813333333333333,0.886058981233244,750.0
pork_chop,0.6405622489959839,0.42533333333333334,0.5112179487179488,750.0
poutine,0.8954344624447718,0.8106666666666666,0.8509447165850246,750.0
prime_rib,0.6390887290167866,0.7106666666666667,0.6729797979797981,750.0
pulled_pork_sandwich,0.7379227053140096,0.8146666666666667,0.7743979721166033,750.0
ramen,0.963963963963964,0.428,0.592797783933518,750.0
ravioli,0.9666666666666667,0.07733333333333334,0.14320987654320988,750.0
red_velvet_cake,0.6754385964912281,0.8213333333333334,0.7412755716004814,750.0
risotto,0.9015151515151515,0.6346666666666667,0.7449139280125195,750.0
samosa,0.9006772009029346,0.532,0.6689019279128248,750.0
sashimi,0.697841726618705,0.9053333333333333,0.7881601857225768,750.0
scallops,0.8129770992366412,0.568,0.6687598116169544,750.0
seaweed_salad,0.6669741697416974,0.964,0.7884405670665213,750.0
shrimp_and_grits,0.6313686313686314,0.8426666666666667,0.7218732153055397,750.0
spaghetti_bolognese,0.8765903307888041,0.9186666666666666,0.8971354166666666,750.0
spaghetti_carbonara,0.9522388059701492,0.8506666666666667,0.8985915492957747,750.0
spring_rolls,0.563162184189079,0.9213333333333333,0.6990389479008599,750.0
steak,0.7122302158273381,0.132,0.22272215973003376,750.0
strawberry_shortcake,0.8614232209737828,0.30666666666666664,0.4523107177974435,750.0
sushi,0.9601063829787234,0.48133333333333334,0.6412078152753109,750.0
tacos,0.9447368421052632,0.4786666666666667,0.6353982300884956,750.0
takoyaki,0.8853695324283559,0.7826666666666666,0.8308563340410473,750.0
tiramisu,0.7959183673469388,0.572,0.6656322730799069,750.0
tuna_tartare,0.680365296803653,0.3973333333333333,0.5016835016835016,750.0
waffles,0.9680851063829787,0.728,0.8310502283105022,750.0
accuracy,0.7335181518151815,0.7335181518151815,0.7335181518151815,0.7335181518151815
macro avg,0.7780263146422648,0.7335181518151815,0.7303829588454044,75750.0
weighted avg,0.7780263146422649,0.7335181518151815,0.7303829588454046,75750.0
